ARIMA,Methods,1,2,3,4,5,6,7,8,9,10,11,12,Average
Level 0,tdgsf,0.0731876537533736,0.300517985780628,0.136944534516992,0.264226810451988,0.0396426999332384,0.0965577472652441,0.158793011238083,3.6362791900847,1.94996568725746,1.29906823884296,2.24081378308739,0.680938275342136,0.90641130146285
Level 0,tdgsa,0.0731876537533737,0.300517985780628,0.136944534516993,0.264226810451992,0.0396426999332441,0.0965577472652449,0.158793011238095,3.63627919008469,1.94996568725741,1.29906823884296,2.24081378308738,0.680938275342135,0.906411301462846
Level 1,tdgsf,0.244907294549069,0.488324659602806,1.03727523341593,1.62612631417277,1.24900951199471,0.516298288761086,1.02850538756101,4.8902270869938,4.03296229253045,2.0548397358896,1.73118906842772,0.828977088513566,1.64405349686771
Level 1,tdgsa,0.181929887276248,0.458626462450986,0.932634608113404,1.54036103840321,1.09797979252056,0.389502642620972,1.49280144490595,4.09742392561024,6.01017769192446,3.38057127762362,2.53798833572299,1.17724643234634,1.94143696162658
Level 2,tdgsf,0.459136879833894,0.276931361261182,0.360154536495427,0.535965676420274,0.593629689901358,0.65555553162782,1.16240460636867,2.4291737717865,3.92311596080547,2.39341329374153,1.50026889715359,0.958434912418294,1.27068209315117
Level 2,tdgsa,0.488088121650617,0.290288749868222,0.40089724180516,0.566449018688988,0.659497740407979,0.782537853118516,1.47834723231026,3.10178385013914,5.41073207531848,3.23292531506731,2.06337302300295,1.15670314572743,1.63596861392542
